"Time","10-11 Riser Return","10-11 Riser Supply"
"2019-05-11 15:33:32",88.6
"2019-05-11 15:37:46",,95
"2019-05-11 15:39:28",88.8
"2019-05-11 15:43:45",,93.9
"2019-05-11 15:45:29",89
"2019-05-11 15:49:42",,92.9
"2019-05-11 15:51:21",89.1
"2019-05-11 15:55:38",,92.7
"2019-05-11 15:56:54",,95.9
"2019-05-11 15:57:18",89.1
"2019-05-11 15:57:40",,100.4
"2019-05-11 15:59:36",,104.8
"2019-05-11 16:03:14",89.1
"2019-05-11 16:05:35",,108.3
"2019-05-11 16:09:11",89.3
"2019-05-11 16:11:28",,109.3
"2019-05-11 16:15:08",89.6
"2019-05-11 16:17:25",,109.3
"2019-05-11 16:21:04",89.6
"2019-05-11 16:23:23",,108.1
"2019-05-11 16:27:01",89.8
"2019-05-11 16:29:20",,106.8
"2019-05-11 16:33:02",89.8
"2019-05-11 16:35:16",,105.2
"2019-05-11 16:38:59",89.8
"2019-05-11 16:41:13",,103.7
"2019-05-11 16:44:52",89.8
"2019-05-11 16:45:00",,104.1
"2019-05-11 16:48:45",,108.2
"2019-05-11 16:50:48",89.4
"2019-05-11 16:54:32",,109
"2019-05-11 16:56:46",89.3
"2019-05-11 17:00:31",,108.9
"2019-05-11 17:02:42",89.6
"2019-05-11 17:06:28",,108
"2019-05-11 17:08:39",89.8
"2019-05-11 17:12:19",,106.7
"2019-05-11 17:14:35",89.6
"2019-05-11 17:18:16",,105.3
"2019-05-11 17:20:31",89.3
"2019-05-11 17:24:13",,103.9
"2019-05-11 17:26:28",89.1
"2019-05-11 17:30:09",,102.6
"2019-05-11 17:32:26",88.9
"2019-05-11 17:36:04",,101.3
"2019-05-11 17:38:22",89
"2019-05-11 17:42:05",,99.9
"2019-05-11 17:44:22",89.1
"2019-05-11 17:47:58",,99.5
"2019-05-11 17:49:54",,103.4
"2019-05-11 17:50:13",89.2
"2019-05-11 17:55:50",,105.7
"2019-05-11 17:56:08",89.3
"2019-05-11 18:01:48",,106
"2019-05-11 18:02:09",89.6
"2019-05-11 18:07:49",,106.3
"2019-05-11 18:08:02",89.3
"2019-05-11 18:13:44",,105.3
"2019-05-11 18:13:59",89.3
"2019-05-11 18:19:41",,103.9
"2019-05-11 18:19:56",89.2
"2019-05-11 18:25:37",,102.6
"2019-05-11 18:25:53",89.1
"2019-05-11 18:30:20",,104.6
"2019-05-11 18:31:49",89.1
"2019-05-11 18:36:18",,107.1
"2019-05-11 18:37:47",89.1
"2019-05-11 18:42:16",,106
"2019-05-11 18:43:41",88.9
"2019-05-11 18:48:13",,105.2
"2019-05-11 18:49:37",88.9
"2019-05-11 18:54:10",,104.1
"2019-05-11 18:55:33",88.9
"2019-05-11 19:00:07",,102.9
"2019-05-11 19:01:33",88.9
"2019-05-11 19:06:05",,101.7
"2019-05-11 19:07:29",89.2
"2019-05-11 19:12:03",,100.4
"2019-05-11 19:13:25",89.3
"2019-05-11 19:18:06",,99.2
"2019-05-11 19:19:18",89.1
"2019-05-11 19:23:59",,97.9
"2019-05-11 19:25:20",88.9
"2019-05-11 19:29:56",,96.8
"2019-05-11 19:31:11",88.5
"2019-05-11 19:35:54",,95.6
