"Time","TMV 1 DHW Outlet","DHW Return"
"2019-05-10 13:14:53",129
"2019-05-10 13:18:01",,125
"2019-05-10 13:23:53",129
"2019-05-10 13:32:43",129.2
"2019-05-10 13:41:36",129.2
"2019-05-10 13:46:20",,124.5
"2019-05-10 13:50:31",129.2
"2019-05-10 13:59:26",128.9
"2019-05-10 14:08:06",129.4
"2019-05-10 14:15:25",128.9
"2019-05-10 14:16:03",,124.9
"2019-05-10 14:24:18",129
"2019-05-10 14:33:13",129.4
"2019-05-10 14:39:09",128.9
"2019-05-10 14:42:49",,123.5
"2019-05-10 14:48:04",128.7
"2019-05-10 15:26:30",128.6
"2019-05-10 15:35:27",128.7
"2019-05-10 15:42:13",,124.2
"2019-05-10 15:44:25",128.5
"2019-05-10 15:53:17",129
"2019-05-10 16:02:17",128.7
"2019-05-10 16:11:08",128.9
"2019-05-10 16:11:56",,124.7
"2019-05-10 16:20:03",129.1
"2019-05-10 16:28:58",128.8
"2019-05-10 16:37:53",128.9
"2019-05-10 16:40:23",,123.8
"2019-05-10 16:46:48",128.5
"2019-05-10 16:55:56",128.9
"2019-05-10 17:04:42",129
"2019-05-10 17:10:05",,124.1
"2019-05-10 17:11:00",129.3
"2019-05-10 17:19:52",128.8
"2019-05-10 17:28:46",128.7
"2019-05-10 17:34:47",,123.7
"2019-05-10 17:37:41",128.7
"2019-05-10 17:46:36",128.7
"2019-05-10 17:53:55",128.9
"2019-05-10 18:00:16",,123.6
"2019-05-10 18:01:35",128.8
"2019-05-10 18:10:32",128.8
"2019-05-10 18:19:27",129.2
"2019-05-10 18:27:50",,121.7
"2019-05-10 18:28:24",129
"2019-05-10 18:37:20",128.7
"2019-05-10 18:46:14",128.5
"2019-05-10 18:55:10",128.6
"2019-05-10 18:56:58",,124
"2019-05-10 19:04:06",129
"2019-05-10 19:13:01",128.8
"2019-05-10 19:21:56",128.8
"2019-05-10 19:25:17",,122.2
"2019-05-10 19:30:52",129.2
"2019-05-10 19:39:47",128.8
"2019-05-10 19:48:42",128.5
"2019-05-10 19:53:21",,121.9
"2019-05-10 19:57:36",128.8
"2019-05-10 20:06:35",128.7
"2019-05-10 20:15:29",128.6
"2019-05-10 20:23:04",,119.4
"2019-05-10 20:24:25",128.9
"2019-05-10 20:33:25",128.8
"2019-05-10 20:40:58",129
"2019-05-10 20:49:55",128.7
"2019-05-10 20:50:50",,119.4
"2019-05-10 20:58:50",129.3
"2019-05-10 21:07:50",128.7
"2019-05-10 21:15:08",128.9
"2019-05-10 21:18:37",,122.5
"2019-05-10 21:24:06",128.9
"2019-05-10 21:32:59",128.8
"2019-05-10 21:41:54",128.4
"2019-05-10 22:16:34",,124.1
"2019-05-10 22:23:34",128.7
"2019-05-10 22:30:17",128.7
